Compound Id,Smiles,pIGC50
158,CCC(C(=O)O)Br,0.12
159,C(CC(=O)O)CBr,-0.77
160,CCOC(=O)CBr,2.68
161,CC(C(=O)OC)Br,1.18
162,COC(=O)CCBr,1.03
163,CCC(C(=O)O)Cl,-0.35
164,C(CC(=O)O)CCl,-0.68
165,CCOC(=O)CCl,1.06
166,CCOC(=O)CI,2.92
167,CCCN=C=S,1.7
168,CC(=C)CO,-1.66
169,CC(C)C=O,-0.48
170,CC=CCO,-1.47
171,C=CCCO,-1.7
172,CC(C=C)O,-1.05
173,CCC(=O)C,-1.84
174,CCCC=O,-0.47
175,CCC(C(=O)N)Cl,-1.22
176,C(/C=C\CO)O,-2.18
177,CC(C)C(=O)O,-0.33
178,CCCC(=O)O,-0.57
179,CCOC(=O)C,-1.54
180,CCC(=O)OC,-1.61
181,CCCOC=O,-1.24
182,CCS(=O)(=O)C=C,0.11
183,C1CSCCS1,-0.11
184,CC(C)CBr,-0.32
185,CCCCBr,-0.18
186,CCCCCl,-0.91
187,CCCCI,0.3
188,C(CCCl)CO,-0.76
189,CC(C)C(=O)N,-1.87
190,CC(=O)N(C)C,-1.95
191,CCC(=NO)C,-1.07
192,CCNC(=O)C,-1.7
193,CCC(=O)NC,-1.53
194,CCCC(=O)N,-1.79
195,CCCC[N+](=O)[O-],-0.69
196,CC(C)CO,-1.42
197,CC(C)(C)O,-1.79
198,CCCCO,-1.48
199,CCC(C)O,-1.59
200,CCCC(=O)NN,-0.97
201,CCC(CO)O,-2.05
202,CC(CCO)O,-2.3
203,C(CCO)CO,-2.24
204,CCSCC,-0.98
205,CCCNC(=S)N,-0.69
206,CCS(=O)(=O)CC,-1.84
207,CCOS(=O)OCC,-0.99
208,CCOS(=O)(=O)OCC,-0.7
209,CC(C)CN,-0.26
210,CC(C)(C)N,-0.9
211,CCCCN,-0.64
212,CCC(C)N,-0.74
213,CCN(C)C,-0.91
214,CCCNC,-0.81
215,CC(COC)N,-0.83
216,CCNCCO,-0.77
217,CC(C)(CO)N,-0.96
218,CCC(CO)N,-0.72
219,COCCCN,-0.77
220,C(CCO)CN,-0.98
221,C(CO)NCCO,-1.03
222,C1(=C(C(=NC(=C1Cl)Cl)Cl)Cl)Cl,1.7
223,C1(=C(C(=C(N=C1F)F)F)Br)F,-0.13
224,C1(=C(C(=NC(=C1F)F)F)F)F,0.7
225,C1=C(C(=NC(=C1F)F)F)F,-0.61
226,C1(=C(NC(=C(C1=S)Cl)Cl)Cl)Cl,1.37
227,C1=C(C=NC(=C1Cl)Cl)Cl,0.34
228,C1(=C(C(=NC(=C1Cl)F)F)Cl)N,0.6
229,C1=CC(=NC(=C1[N+](=O)[O-])Cl)Cl,2.03
230,C1=C(C=NC(=C1[N+](=O)[O-])Cl)[N+](=O)[O-],2.54
231,C1=C(SC(=C1)Cl)C#N,-0.08
232,C1=CC(=NC(=C1)Br)Br,0.25
233,C1=C(C=NC=C1Br)Br,0.32
234,C1=COC(=C1)C#N,-0.71
235,C1=C(OC(=C1)Br)C=O,0.13
236,C1=C(OC(=C1)Cl)C=O,0.07
237,C1=C(OC(=C1)I)C=O,0.33
238,C1=CC(=NC=C1[N+](=O)[O-])Br,1.07
239,C1=CC(=C(N=C1)Cl)[N+](=O)[O-],0.87
240,C1=CC(=NC=C1[N+](=O)[O-])Cl,0.8
241,C1=C(OC(=C1)[N+](=O)[O-])C=O,2.23
242,C1=CSC(=C1)C#N,-0.76
243,C1=C(SC(=C1)Cl)C=O,0.62
244,C1=C(SC(=C1)[N+](=O)[O-])C=O,1.98
245,C1=CC=NC(=C1)Br,-0.54
246,C1=CC(=CN=C1)Br,-0.51
247,C1=CN=CC=C1Br.Cl,-0.43
248,C1=CC=NC(=C1)Cl,-0.8
249,C1=CC(=CN=C1)Cl,-0.63
250,C1=CN=CC=C1Cl.Cl,-0.86
251,C1=CC=NC(=C1)F,-1.2
252,C1=CNC(=C1)C#N,-0.58
253,C1=C(C=NC(=C1Br)N)Br,0.85
254,C1=C(C=NC(=C1Cl)N)Cl,1.46
255,C1=C2C(=NC=N1)N=CN2,-0.79
256,C1=CC(=C(N=C1)Br)O,0.08
257,C1=CC(=C(N=C1)Cl)O,-0.03
258,C1=CC(=O)NC=C1Cl,-0.75
259,C1=C(C=NC=C1Cl)O,0.1
260,C1=CC(=O)NC(=C1)Cl,-0.29
261,C1=COC(=C1)C=O,-0.1
262,C1=COC=C1C=O,0.0
263,C1=C(C(=O)NC=C1Cl)O,0.57
264,C1=CN=CC=C1[N+](=O)[O-],0.44
265,C1=CC(=C(N=C1)[N+](=O)[O-])O,0.87
266,C1=CSC(=C1)C=O,-0.05
267,C1=CSC=C1C=O,0.4
268,C1=CC=NC=C1,-1.26
269,C1=CC(=NC=C1Br)N,0.5
270,C1=CC(=C(N=C1)Cl)N,-0.71
271,C1=CC(=NC=C1Cl)N,-0.03
272,C1=CC(=NC=C1N)Cl,0.17
273,C1=CNC=C1C=O,-0.48
274,C1=CC(=O)NC=C1,-1.61
275,C1=CC(=CN=C1)O,-0.73
276,C1=CNC=CC1=O,-1.59
277,C1=COC(=C1)C(=O)N,-1.44
278,C1=CNC(=O)C(=C1)O,-0.34
279,C1=CNC(=O)C=C1O,-1.46
280,C1=CC(=C(N=C1)N)[N+](=O)[O-],-0.01
281,C1=CC(=NC=C1[N+](=O)[O-])N,0.22
282,CC1=C(SC=C1)Br,0.62
283,CC1=CC=C(S1)Br,0.65
284,C1=CSC(=C1)C(=O)N,-0.97
285,CC1=NC=CN=C1,-1.09
286,C(CC#N)CC#N,-1.64
287,C1=CC=NC(=C1)N,-0.62
288,C1=CC(=CN=C1)N,-0.48
289,C1=CN=CC=C1N,-0.44
290,CC1=CC(=NC(=N1)N)Cl,-0.47
291,C1CC(=O)C=C1,0.64
292,C#CC=CCO,-0.55
293,C1=CC(=C(N=C1)N)O,0.05
294,CC1=C(N=CN1)C=O,-0.93
295,C=CC(=O)OC=C,1.42
296,CCOC(=O)C#C,1.7
297,CC#CC(=O)OC,0.4
298,CC(=O)OCC#C,-1.17
299,CC1=CSC=C1,-0.7
300,C(CN=C=S)CN=C=S,2.89
301,C#CCCCCl,-0.49
302,C/C=C/CC#N,-0.95
303,C1=CC(=C(N=C1)N)N,-0.11
304,C1=CC(=NC(=C1)N)N,-0.59
305,CC(=O)C(C(=O)C)Cl,1.44
306,CCOC(=O)CC#N,-1.23
307,C(CCBr)CC#N,-0.21
308,C(CCCl)CC#N,-0.63
309,C/C=C(\C)/C=O,-0.14
310,CC/C=C/C=O,0.66
311,CC(C)(C#C)O,-1.4
312,CCC(=C)C=O,0.91
313,CC(=CC=O)C,0.09
314,CCC(=O)C=C,1.49
315,CCC(C#C)O,-1.18
316,CCC#CCO,-0.57
317,CC=CC(=O)C,0.54
318,C/C=C/C(=O)C,-1.27
319,CC#CCCO,-1.46
320,C#CCCCO,-1.63
321,CC/C=C/C(=O)O,-0.28
322,CC1CCOC1=O,-1.19
323,CC1CCC(=O)O1,-1.61
324,CCC(=O)OC=C,-0.65
325,CCOC(=O)C=C,0.52
326,C/C=C/C(=O)OC,-0.92
327,CC(=C)C(=O)OC,-1.28
328,C=CCCC(=O)O,0.22
329,CCC(=O)C(=O)C,-0.16
330,CC(=O)CC(=O)C,-0.27
331,CC(=C)OC(=O)C,-0.49
332,CC(=O)OCC=C,0.48
333,CCOC(=O)C(CBr)Br,2.21
334,C=CC(=O)OCCO,0.69
335,COC(=O)CC(=O)OC,-1.29
336,C(CC(=O)O)CC(=O)O,-0.64
337,CC/C=C/CBr,0.77
338,C=CCCCBr,0.01
339,C1CCC(C1)Cl,-0.35
340,CC(C)(C)C#N,-1.33
341,CC(C)(C#C)N,-0.91
342,CC(C)CC#N,-0.88
343,CN(C)CC#C,-1.15
344,CCCCC#N,-1.01
345,CCCCC(=O)Cl,-0.34
346,CN(C)C(=O)C=C,-1.24
347,CC(C)C(C(=O)O)Br,-0.55
348,CCCC(C(=O)O)Br,-0.04
349,C(CCBr)CC(=O)O,-0.69
350,CCOC(=O)C(C)Br,1.06
351,CCOC(=O)CCBr,-0.13
352,CCC(C(=O)OC)Br,1.02
353,COC(=O)CCCBr,0.07
354,CCCOC(=O)CBr,2.31
355,C(CCCl)CC(=O)O,-0.29
356,CCOC(=O)C(C)Cl,-0.43
357,CCOC(=O)CCCl,-0.5
358,CCCOC(=O)CCl,1.18
359,CC(C)CN=C=S,1.64
360,CCCCN=C=S,1.72
361,CC(C)(C)N=C=S,-0.64
362,CCC(C)N=C=S,1.11
363,CC/C=C\CO,-1.12
364,CC(C)(C=C)O,-1.39
365,CCC(C)C=O,-0.36
366,CC(=CCO)C,-1.24
367,CC(=C)CCO,-1.18
368,CC(C)C(=O)C,-1.26
369,CC(C)CC=O,-0.38
370,CCC(C=C)O,-1.35
371,CC=CC(C)O,-1.4
372,C=CCCCO,-1.23
373,CC(CC=C)O,-1.52
374,CCCC(=O)C,-1.4
375,CCC(=O)CC,-1.53
376,CCCCC=O,-0.07
377,CC(C)(C)C(=O)O,-0.25
378,CC(C)COC=O,-1.32
379,CC(C)CC(=O)O,-0.34
380,CCCCOC=O,-1.04
381,CCC(=O)OCC,-1.04
382,CCCC(=O)OC,-1.25
383,CCCCC(=O)O,-0.27
384,CC(C)OC(=O)C,-1.59
385,CCCOC(=O)C,-1.29
386,CC(C)(C)OC=O,-0.89
387,CC(C)CCBr,0.25
388,CCCCCBr,0.48
389,CCCC(C)Br,0.21
390,CCCCCCl,0.17
391,CC(C)(CO)CBr,-0.46
392,CC(C)(CO)CCl,-0.78
393,CC(C)(C)C(=O)N,-1.48
394,CC(C)CC(=O)N,-1.66
395,CCC(=O)N(C)C,-1.54
396,CCCNC(=O)C,-1.5
397,CCCCC[N+](=O)[O-],-0.36
398,CCCCOC(=O)N,-0.97
399,CCCCC,-0.2
400,CN1CCNCC1,-0.96
401,CC(C)(C)CO,-0.92
402,CCC(C)CO,-1.04
403,CCC(C)(C)O,-1.22
404,CC(C)CCO,-1.08
405,CC(C)C(C)O,-1.04
406,CCCCCO,-1.07
407,CCCC(C)O,-1.2
408,CCC(CC)O,-1.29
409,CCCC(CO)O,-1.63
410,C(CCO)CCO,-1.93
411,CN(C)C(=S)N(C)C,-0.85
412,CCNC(=S)NCC,-0.76
413,CCCCNC(=S)N,-0.19
414,CCC(C)CN,-0.48
415,CCC(C)(C)N,-0.7
416,CC(C)CCN,-0.58
417,CC(C)C(C)N,-0.71
418,CCCCNC,-0.68
419,CCN(C)CC,-0.76
420,CCCCCN,-0.55
421,CCCC(C)N,-0.69
422,CCC(CC)N,-0.81
423,CCCNCCO,-0.77
424,CC(C)C(CO)N,-0.59
425,CCCC(CO)N,-0.67
426,CC(C)(CN)CO,-0.92
427,CCOCCCN,-0.76
428,C(CCN)CCO,-0.99
429,CN(CCO)CCO,-1.06
430,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,1.54
431,C1(=C(C(=C(C(=C1F)F)F)F)F)[N+](=O)[O-],2.43
432,C1(=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl)[N+](=O)[O-],2.78
433,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,2.66
434,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,2.38
435,C1(=C(C(=C(C(=C1F)F)F)F)F)O,1.64
436,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-],1.79
437,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,1.65
438,C1=C(C(=C(C(=C1F)F)F)[N+](=O)[O-])F,1.87
439,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],2.6
440,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,2.0
441,C1(=C(C(=C(C(=C1F)F)F)F)F)N,0.23
442,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,2.36
443,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,2.18
444,C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,2.22
445,C1=C(C(=C(C(=C1F)F)O)F)F,1.17
446,C1(=C(C(=C(C(=C1Br)Br)Br)Br)O)O,0.98
447,C1=C(C(=O)C=C(C1=O)Cl)Cl,2.61
448,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O)O,1.7
449,C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O,2.25
450,C1(=C(C(=C(C(=C1F)F)O)F)F)O,1.84
451,C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl,1.51
452,C1=C(C=C(C(=C1Cl)Cl)Cl)[N+](=O)[O-],1.55
453,C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-],1.53
454,C1=C(C=C(C(=C1Cl)[N+](=O)[O-])Cl)Cl,1.43
455,C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,1.89
456,C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])[N+](=O)[O-],2.21
457,C1=C(C=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])Cl)Cl,2.51
458,C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)[N+](=O)[O-],2.65
459,C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-],2.08
460,C1=CC(=C(C(=C1)Br)Cl)Cl,1.3
461,C1=CC(=C(C(=C1)Cl)Br)Cl,1.34
462,C1=CC(=C(C(=C1)Cl)Cl)Cl,1.21
463,C1=CC(=C(C=C1Cl)Cl)Cl,1.12
464,C1=C(C=C(C=C1Cl)Cl)Cl,0.87
465,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)N,1.96
466,C1=C(C(=C(C(=C1Cl)Cl)N)Cl)Cl,1.81
467,C1=C(C=C(C(=C1Br)O)Br)Br,1.85
468,C1=C(C=C(C(=C1Cl)O)Cl)Br,1.78
469,C1=C(C=C(C(=C1O)Cl)Cl)Cl,2.37
470,C1=C(C(=CC(=C1Cl)Cl)Cl)O,2.1
471,C1=C(C=C(C(=C1Cl)O)Cl)Cl,1.55
472,C1=C(C=C(C(=C1Cl)O)Cl)F,0.8
473,C1=C(C=C(C(=C1I)O)I)I,2.67
474,C1=C(C(=C(C(=C1Br)O)Br)O)Br,1.06
475,C1=CC(=O)C(=CC1=O)Cl,2.06
476,C1=CC(=C(C=C1Br)[N+](=O)[O-])Br,1.37
477,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],1.07
478,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,1.16
479,C1=C(C=C(C=C1Cl)Cl)[N+](=O)[O-],1.13
480,C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl,1.13
481,C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-],0.99
482,C1=CC(=C(C=C1[N+](=O)[O-])Cl)F,0.8
483,C1=CC(=C(C=C1F)[N+](=O)[O-])F,0.39
484,C1=C(C=C(C=C1F)I)[N+](=O)[O-],1.09
485,C1=C(C=C(C(=C1Br)O)Br)[N+](=O)[O-],1.36
486,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)Cl,1.75
487,C1=C(C=C(C(=C1Cl)O)Cl)[N+](=O)[O-],0.64
488,C1=C(C=C(C(=C1[N+](=O)[O-])O)F)Br,1.62
489,C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-],1.76
490,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br,2.31
491,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,2.07
492,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,1.71
493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])I,2.12
494,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],-0.16
495,C1=CSC(=C1)C(=O)C(F)(F)F,-0.1
496,C1=CC(=CC=C1Br)Br,0.68
497,C1=CC(=CC=C1Cl)Br,0.56
498,C1=CC=C(C(=C1)Cl)Cl,1.26
499,C1=CC(=CC(=C1)Cl)Cl,0.56
500,C1=CC(=CC=C1Cl)Cl,0.53
501,C1=CC(=CC=C1F)Br,0.11
502,C1=CC(=CC=C1Br)I,0.35
503,C1=C(C=C(C(=C1Br)N)Br)Cl,1.52
504,C1=CC(=C(C(=C1N)Cl)Cl)Cl,1.27
505,C1=C(C(=CC(=C1Cl)Cl)Cl)N,1.3
506,C1=C(C=C(C(=C1Cl)N)Cl)Cl,1.01
507,C1=C(C=C(C(=C1Cl)Cl)Cl)N,1.51
508,C1=CC=NC(=C1)C#N,-0.81
509,C1=CC(=CN=C1)C#N,-0.75
510,C1=CN=CC=C1C#N,-0.82
511,C1=CC(=C(C=C1Br)Br)O,1.4
512,C1=CC(=C(C(=C1)Cl)Cl)O,1.28
513,C1=CC(=C(C=C1Cl)Cl)O,1.04
514,C1=CC(=C(C=C1Cl)O)Cl,1.13
515,C1=CC(=C(C(=C1)Cl)O)Cl,0.74
516,C1=CC(=C(C=C1O)Cl)Cl,1.74
517,C1=C(C=C(C=C1Cl)Cl)O,1.57
518,C1=CC(=C(C=C1O)Cl)F,1.0
519,C1=CC(=C(C=C1F)F)O,0.6
520,C1=CC(=C(C(=C1)F)O)F,0.43
521,C1=CC(=O)C=CC1=O,2.33
522,C1=C(C(=CC(=C1Br)O)Br)O,1.55
523,C1=C(C(=CC(=C1Cl)O)Cl)O,1.67
524,C1=C(C=C(C(=C1O)O)Cl)Cl,1.37
525,C1=C(C(=CC(=C1Cl)Cl)O)O,1.32
526,C1=C(C(=CC(=C1O)Cl)Cl)O,0.97
527,C1=CC=C(C(=C1)[N+](=O)[O-])Br,0.81
528,C1=CC(=CC(=C1)Br)[N+](=O)[O-],1.12
529,C1=CC(=CC=C1[N+](=O)[O-])Br,0.42
530,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0.57
531,C1=CC(=CC(=C1)Cl)[N+](=O)[O-],0.73
532,C1=CC(=CC=C1[N+](=O)[O-])Cl,0.48
533,C1=CC=C(C(=C1)[N+](=O)[O-])F,0.23
534,C1=CC(=CC(=C1)F)[N+](=O)[O-],0.2
535,C1=CC(=CC=C1[N+](=O)[O-])F,0.09
536,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)Br,1.4
537,C1=C(C=C(C(=C1Br)N)Br)[N+](=O)[O-],1.22
538,C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])N,1.69
539,C1=C(C(=CC(=C1F)F)[N+](=O)[O-])N,0.76
540,C1=CC2=NNN=C2C=C1[N+](=O)[O-],0.75
541,C1=CC(=C(C=C1Br)[N+](=O)[O-])O,1.87
542,C1=CC(=C(C=C1[N+](=O)[O-])Cl)O,1.38
543,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,1.96
544,C1=CC(=C(C=C1O)[N+](=O)[O-])Cl,1.27
545,C1=CC(=C(C=C1[N+](=O)[O-])F)O,1.07
546,C1=CC(=C(C=C1O)F)[N+](=O)[O-],0.94
547,C1=CC(=C(C=C1F)[N+](=O)[O-])O,1.38
548,C1=CC(=C(C=C1F)O)[N+](=O)[O-],1.13
549,C1=C(C(=O)C=C(C1=O)O)O,-0.05
550,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],1.27
551,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],0.83
552,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],1.33
553,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],1.24
554,C1=C(C=C(C(=C1[N+](=O)[O-])N)Cl)[N+](=O)[O-],1.17
555,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])Cl,1.15
556,C1=C(C(=CC(=C1F)[N+](=O)[O-])[N+](=O)[O-])N,1.69
557,C1=CC(=C(C(=C1)O)[N+](=O)[O-])[N+](=O)[O-],0.46
558,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1.08
559,C1=CC(=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],0.99
560,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],0.65
561,C1=CC(=C(C=C1O)[N+](=O)[O-])[N+](=O)[O-],0.32
562,C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],1.39
563,C1=C(C(=C(C(=C1[N+](=O)[O-])O)O)O)[N+](=O)[O-],1.18
564,C1=CC2=NSN=C2C=C1,-0.09
565,C1=CC=C(C=C1)Br,0.08
566,C1=CC=C(C=C1)Cl,0.1
567,C1=CC=C(C=C1)I,0.36
568,C1=CC(=C(C(=C1)Br)N)Br,0.9
569,C1=CC(=C(C(=C1)Cl)Cl)N,1.21
570,C1=CC(=C(C=C1Cl)Cl)N,0.56
571,C1=CC(=C(C=C1Cl)N)Cl,0.58
572,C1=CC(=C(C(=C1)Cl)N)Cl,0.33
573,C1=CC(=C(C=C1N)Cl)Cl,1.26
574,C1=C(C=C(C=C1Cl)Cl)N,0.71
575,C1=CC2=NNN=C2C=C1,-0.42
576,C1=CC2=C(N=C1)N=CN2,-0.71
577,C1=CC=C(C(=C1)O)Br,0.42
578,C1=CC(=CC(=C1)Br)O,1.15
579,C1=CC(=CC=C1O)Br,0.68
580,C1=CC=C(C(=C1)O)Cl,0.23
581,C1=CC(=CC(=C1)Cl)O,0.91
582,C1=CC(=CC=C1O)Cl,0.55
583,C1=CC=C(C(=C1)O)F,0.23
584,C1=CC(=CC(=C1)F)O,0.43
585,C1=CC(=CC=C1O)F,0.02
586,C1=CC(=CC(=C1)I)O,1.12
587,C1=CC(=CC=C1O)I,0.85
588,C1=CC=NC(=C1)C=O,-0.11
589,C1=CC(=CN=C1)C=O,-0.53
590,C1=CN=CC=C1C=O,-0.19
591,C1=C(C=C(C(=C1Br)O)Br)N,1.55
592,C1=C(C=C(C(=C1Cl)O)Cl)N,1.29
593,C1=CC(=C(C=C1O)Br)O,1.68
